method,correctness_mean,correctness_std,faithfulness_mean,faithfulness_std,completeness_mean,completeness_std,relevance_mean,relevance_std,abstention_accuracy,n_judged
dat_full,4.156,0.716,4.23,0.69,3.885,0.706,4.328,0.661,0.8,122
flat_rag,3.262,0.907,3.574,0.944,2.869,0.927,3.508,0.816,0.4,122
section_rag,3.475,0.815,3.484,0.884,3.418,0.898,3.648,0.76,0.533,122
long_context,3.852,0.746,4.049,0.748,3.664,0.723,3.746,0.788,0.667,122
dat_no_expansion,3.943,0.753,4.008,0.744,3.623,0.836,4.09,0.692,0.667,122
dat_parent_only,3.885,0.741,3.877,0.778,3.426,0.749,3.951,0.77,0.533,122
dat_no_self_scoring,3.648,0.749,3.787,0.826,3.689,0.834,3.877,0.756,0.467,122
